name,class,branch,faction,stars,position,tags,trait,availability,icon,description,phrase,file_no.,gender,height,mobility,endurance,internal_name,base_hp,elite_1_hp,elite_2_hp,max_hp,trust_hp,base_atk,elite_1_atk,elite_2_atk,max_atk,trust_atk,base_def,elite_1_def,elite_2_def,max_def,trust_def,base_res,elite_1_res,elite_2_res,max_res,base_redeploy,elite_1_redeploy,elite_2_redeploy,max_redeploy,base_dp_cost,elite_1_dp_cost,elite_2_dp_cost,max_dp_cost,base_block,elite_1_block,elite_2_block,max_block,base_interval,elite_1_interval,elite_2_interval,max_interval,images,experience,place_of_birth,date_of_birth,race,infection_status,strength,tactical_acumen,combat_skill,arts_adaptability
Jessica,Sniper,Marksman,Blacksteel,4-star,Ranged,"['DPS', 'Survival']",Attacks aerial enemies first,Headhunting; Recruitment; TR-3,https://static.wikia.nocookie.net/mrfz/images/5/53/Jessica_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082902,"Jessica, Sniper Operator of Blacksteel, will provide effective attack power for the squad with her professional skills.",If only she wasn't such a scaredy-cat...,BS03,Female,147 cm,Standard,Excellent,char_235_jesica,604,864,1108,1320,,163,272,389,475,65.0,54,91,130,154,,0,0,0,0,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/e/e8/Jessica.png/revision/latest?cb=20190627031242', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/4/40/Jessica_Elite_2.png/revision/latest?cb=20190627031242', 'Iron Block': 'https://static.wikia.nocookie.net/mrfz/images/0/07/Jessica_Skin_1.png/revision/latest?cb=20200201081844', 'Ash': 'https://static.wikia.nocookie.net/mrfz/images/1/1f/Jessica_Skin_2.png/revision/latest?cb=20200201081845', 'Clivia': 'https://static.wikia.nocookie.net/mrfz/images/a/a8/Jessica_Skin_3.png/revision/latest?cb=20200201082634'}",2 years,Victoria,March 3rd,Feline,Non-infected as confirmed by medical report.,Standard,Normal,Standard,Normal
Matoimaru,Guard,Dreadnought,Higashi,4-star,Melee,"['Survival', 'DPS']",Blocks 1 enemy,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/e/ed/Matoimaru_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083005,"Matoimaru, Guard Operator of Rhodes Island, will wield her blade to wipe out the enemy.","Fast reactions, fast attacks, and even faster recovery.",HK01,Female,172 cm,Standard,Excellent,char_289_gyuki,1514,2019,2693,3640,450.0,396,592,760,916,,70,100,131,156,,0,0,0,0,70s,70s,70s,70s,15,15,17,17,1,1,1,1,1.5s,1.5s,1.5s,1.5s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/8/83/Matoimaru.png/revision/latest?cb=20190724033828', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/1/1b/Matoimaru_Elite_2.png/revision/latest?cb=20190724033851'}",3 years,The Far East,January 3rd,Oni,Non-infected as confirmed by medical report.,Excellent,Normal,Standard,Excellent
Matterhorn,Defender,Protector,Karlan Commercial,4-star,Melee,['Defense'],Blocks 3 enemies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/d/d6/Matterhorn_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083005,"Matterhorn, Defender of Karlan Trade CO.,LTD, is at your service as a Defender Operator.",The reliable shield of Kjerag.,JC03,Male,182 cm,Normal,Excellent,char_199_yak,1273,1698,2264,3235,385.0,198,254,318,375,,241,361,489,670,,5,5,5,5,70s,70s,70s,70s,17,17,19,21,3,3,3,3,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/f/f0/Matterhorn.png/revision/latest?cb=20190628063251', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/9/94/Matterhorn_Elite_2.png/revision/latest?cb=20190628063251', 'Beach Guard GT.001': 'https://static.wikia.nocookie.net/mrfz/images/d/d1/Matterhorn_Skin_1.png/revision/latest?cb=20200719104147'}",6 years,Kjerag,May 19th,Forte,Medical tests have confirmed that no infection is present.,Excellent,Standard,Standard,Flawed
May,Sniper,Marksman,Victoria,4-star,Ranged,"['DPS', 'Slow']",Attacks aerial enemies first,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/1/1f/May_icon.png/revision/latest/scale-to-width-down/120?cb=20200201060351,"May, Sniper Operator of Rhodes Island, has issued a warning to wrongdoers and is not afraid to sanction them.","Does not accept frivolous investigations and odd jobs, such as searching for lost pets.",VC01,Female,151 cm,Standard,Normal,char_133_mm,730,1043,1338,1632,,163,273,391,478,65.0,36,61,88,105,,0,0,0,0,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/b/b5/May.png/revision/latest?cb=20200523174915', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8e/May_Elite_2.png/revision/latest?cb=20200201063335'}",Half a year,Victoria,May 1st,Liberi,Confirmed uninfected by medical examination.,Standard,Excellent,Standard,Normal
Meteor,Sniper,Marksman,Kazimierz,4-star,Ranged,"['DPS', 'Debuff']",Attacks aerial enemies first,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/c/cf/Meteor_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083006,"Meteor, Sniper Operator of Rhodes Island, is always ready to draw her bow.","Like a meteor, she crossed the sky and landed by your side.",ST02,Female,164 cm,Excellent,Normal,char_126_shotst,612,875,1123,1370,,159,266,381,465,65.0,58,97,139,165,,0,0,0,0,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/9/99/Meteor.png/revision/latest?cb=20190724034517', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/a/ae/Meteor_Elite_2.png/revision/latest?cb=20190724034538', ""Bard's Holiday"": 'https://static.wikia.nocookie.net/mrfz/images/8/84/Meteor_Skin_1.png/revision/latest?cb=20211001085716'}",6 years,Kazimierz,May 1st,Kuranta,Infection confirmed by medical examination.,Normal,Normal,Normal,Normal
Mousse,Guard,Arts Fighter,Victoria,4-star,Melee,['DPS'],Deals Arts Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/d/dc/Mousse_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083052,"Mousse, Guard Operator of Rhodes Island, thinks of her enemies as oversized scratching posts.","In a word, scratch.",VC04,Female,154 cm,Standard,Standard,char_185_frncat,1069,1407,1782,2345,,273,396,515,644,35.0,158,230,296,357,35.0,10,10,10,15,70s,70s,70s,70s,18,18,20,20,1,1,1,1,1.25s,1.25s,1.25s,1.25s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/e/eb/Mousse.png/revision/latest?cb=20190724035415', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/1/14/Mousse_Elite_2.png/revision/latest?cb=20190724035444'}",Half a year,Victoria,August 19th,Feline,"Showed physical signs of Originium, infection confirmed by medical report.",Standard,Normal,Standard,Excellent
Myrrh,Medic,Medic,Rhodes Island,4-star,Ranged,['Healing'],Restores the HP of allies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/d/db/Myrrh_icon.png/revision/latest/scale-to-width-down/120?cb=20210119101014,"Myrrh, Medic Operator of Rhodes Island, will provide medical care for the squad with her herbs.","She might be sweet, but her herbs are sure bitter.",R104,Female,143 cm,Standard,Normal,char_117_myrrh,752,1060,1278,1420,,161,264,372,465,60.0,57,83,104,131,,0,0,0,0,70s,70s,70s,70s,16,16,18,18,1,1,1,1,2.85s,2.85s,2.85s,2.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/0/0a/Myrrh.png/revision/latest?cb=20190724035648', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/4/4e/Myrrh_Elite_2.png/revision/latest?cb=20190724035710', 'Bitter Herbs': 'https://static.wikia.nocookie.net/mrfz/images/c/c2/Myrrh_Skin_1.png/revision/latest?cb=20190831014827'}",None,Unknown,May 5th,Vulpo,Non-infected as confirmed by medical report.,Normal,Normal,Normal,Standard
Myrtle,Vanguard,Standard Bearer,Rhodes Island,4-star,Melee,"['DP-Recovery', 'Healing']",Cannot block enemies during the skill duration,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/6/6a/Myrtle_icon.png/revision/latest/scale-to-width-down/120?cb=20191104030343,"Myrtle, Vanguard of Rhodes Island, is ready to lead the charge into battle!",Maybe she should have a talk with Zima.,R108,Female,131 cm,Standard,Standard,char_151_myrtle,658,902,1142,1565,,231,331,436,520,,138,193,255,300,50.0,0,0,0,0,70s,70s,70s,70s,8,8,10,10,1,1,1,1,1.3s,1.3s,1.3s,1.3s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/f/f7/Myrtle.png/revision/latest?cb=20191104024109', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/9/9f/Myrtle_Elite_2.png/revision/latest?cb=20191104024308', 'Light Gold Celebration': 'https://static.wikia.nocookie.net/mrfz/images/b/bf/Myrtle_Skin_1.png/revision/latest?cb=20211101160628'}",None,Unknown,December 13th,Durin,Medical tests have confirmed that no infection is present.,Standard,Excellent,Standard,Standard
Perfumer,Medic,Multi-target,Rhodes Island,4-star,Ranged,['Healing'],Restores the HP of up to 3 allies simultaneously.,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/7/7a/Perfumer_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083136,"Perfumer, manager of ""Health Garden,"" will use her fragrant aromatherapy to heal the squad.",Anyone with a pollen allergy should stay away.,MN03,Female,158 cm,Standard,Normal,char_181_flower,710,960,1232,1560,150.0,117,189,256,320,25.0,69,92,120,145,,0,0,0,0,70s,70s,70s,70s,14,14,16,16,1,1,1,1,2.85s,2.85s,2.85s,2.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/3/31/Perfumer.png/revision/latest?cb=20190724200640', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/3/3f/Perfumer_Elite_2.png/revision/latest?cb=20190724200701', 'Species Planatarum': 'https://static.wikia.nocookie.net/mrfz/images/6/6d/Perfumer_Skin_1.png/revision/latest?cb=20190831014828', 'Leisurely Afternoon': 'https://static.wikia.nocookie.net/mrfz/images/3/34/Perfumer_Skin_2.png/revision/latest?cb=20210702080253'}",1 year,Minos,January 30th,Vulpo,Infection confirmed by medical examination.,Normal,Standard,Standard,Excellent
Pinecone,Sniper,Spreadshooter,Columbia,4-star,Ranged,"['AoE', 'DPS']","Attacks all enemies within range, and deals 150% damage to enemies in the row directly in front of this unit",Headhunting,https://static.wikia.nocookie.net/mrfz/images/5/58/Pinecone_icon.png/revision/latest/scale-to-width-down/120?cb=20201217080359,"Construction worker Pinecone, all spaced out while she gets the job done.","She looks half-asleep, but her work's laser-accurate. How does she do it?",CB09,Female,148 cm,Standard,Standard,char_440_pinecn,977,1303,1650,2200,,303,434,560,667,55.0,90,118,150,167,,0,0,0,0,70s,70s,70s,70s,27,27,30,30,1,1,1,1,2.3s,2.3s,2.3s,2.3s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/a/a7/Pinecone.png/revision/latest?cb=20201217081042', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/a/a6/Pinecone_Elite_2.png/revision/latest?cb=20201217081102', 'Sing a Song': 'https://static.wikia.nocookie.net/mrfz/images/b/ba/Pinecone_Skin_1.png/revision/latest?cb=20210917061317'}",None,Columbia,March 12th,Liberi,Medical tests have confirmed that no infection is present.,Normal,Normal,Standard,Normal
Podenco,Supporter,Decel Binder,Rhodes Island,4-star,Ranged,"['Slow', 'Healing']",Deals Arts Damage and Slows the target for a short time,Headhunting,https://static.wikia.nocookie.net/mrfz/images/c/ce/Podenco_icon.png/revision/latest/scale-to-width-down/120?cb=20200618201033,"Podenco, Supporter Operator, brings a touch of floral fragrance to an otherwise tense battlefield.","Her fragrance is so soothing, enough to make people drop on the spot.",R157,Female,145 cm,Standard,Normal,char_258_podego,528,724,930,1163,,208,306,408,492,50.0,43,62,80,96,,10,10,15,20,70s,70s,70s,70s,12,12,14,14,1,1,1,1,1.9s,1.9s,1.9s,1.9s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/5/54/Podenco.png/revision/latest?cb=20200618201016', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/7/77/Podenco_Elite_2.png/revision/latest?cb=20200618201016', 'Wake Up from a Nap': 'https://static.wikia.nocookie.net/mrfz/images/0/09/Podenco_Skin_1.png/revision/latest?cb=20210702080258'}",None,Bolívar,March 25th,Perro,Medical tests have confirmed that no infection is present.,Normal,Normal,Normal,Normal
Pudding,Caster,Chain,Columbia,4-star,Ranged,['DPS'],Attacks deal Arts damage and jump to 3/4 other enemies. Each jump deals 15% less damage and inflicts a brief Slow,Shop Vouchers Store,https://static.wikia.nocookie.net/mrfz/images/1/19/Pudding_icon.png/revision/latest/scale-to-width-down/120?cb=20211101070130,"Electrical engineer Pudding, putting in assiduous work as Closure's assistant in the Engineering Department.","She can help with anything, anything electrical anyway.",CB03,Female,156 cm,Standard,Standard,char_4004_pudd,542,775,1007,1326,,241,345,449,542,70.0,39,66,91,108,,20,20,20,20,70s,70s,70s,70s,28,28,31,31,1,1,1,1,2.3s,2.3s,2.3s,2.3s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/2/23/Pudding.png/revision/latest?cb=20211101070132', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/4/42/Pudding_Elite_2.png/revision/latest?cb=20211101070129'}",None,Columbia,December 21st,Aegir,"Crystals visible on skin surface, infection confirmed by medical examination.",Flawed,Normal,Standard,Standard
Purestream,Medic,Therapist,Yan,4-star,Ranged,"['Healing', 'Support']","Has a large healing range, but the healing amount on farther targets is reduced to 80%",Coexistence (Purestream Pack); [CN] Recruitment,https://static.wikia.nocookie.net/mrfz/images/6/6d/Purestream_icon.png/revision/latest/scale-to-width-down/120?cb=20200303173355,"Purestream, water treatment specialist, is working hard as always, cautious and conscientious.",She always thought that throwing coins into water to make a wish was a rather silly practice.,R160,Female,155 cm,Standard,Normal,char_385_finlpp,748,985,1173,1365,150.0,159,261,363,454,35.0,51,75,94,118,,10,10,10,10,80s,80s,80s,80s,17,17,19,19,1,1,1,1,2.85s,2.85s,2.85s,2.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/f/f7/Purestream.png/revision/latest?cb=20200302204107', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8c/Purestream_Elite_2.png/revision/latest?cb=20200302204122'}",None,Yan,October 24th,Aegir,Confirmed uninfected by medical examination.,Normal,Normal,Normal,Excellent
Roberta,Supporter,Artificer,Columbia,4-star,Melee,"['Defense', 'Support']",Blocks 2 enemies; Can use Support Devices in battles,Headhunting,https://static.wikia.nocookie.net/mrfz/images/a/a1/Roberta_icon.png/revision/latest/scale-to-width-down/120?cb=20210917041650,Makeup artist Roberta is here to provide you with custom beautification services.,"To keep you looking sharp, she doesn't mind taking on some of Rhodes Island's other work.",CB11,Female,155 cm,Normal,Standard,char_484_robrta,1123,1539,1976,2470,,226,333,444,535,35.0,188,270,349,415,35.0,0,0,0,0,70s,70s,70s,70s,13,13,15,17,2,2,2,2,1.5s,1.5s,1.5s,1.5s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/1/11/Roberta.png/revision/latest?cb=20210917041906', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/2/25/Roberta_Elite_2.png/revision/latest?cb=20210917041902'}",None,Columbia,May 10th,Anaty,Medical tests have confirmed that no infection is present.,Normal,Standard,Standard,Normal
Rope,Specialist,Hookmaster,Lungmen,4-star,Melee,['Shift'],Can Shift enemies by using skillsCan be deployed on Ranged Grids,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/1/15/Rope_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083318,"Rope, Specialist Operator of Rhodes Island, will provide assistance for the squad with her grappling hook.",Snag 'em and grab 'em! Who's next?,RB02,Female,155 cm,Excellent,Standard,char_236_rope,744,1006,1307,1720,,313,448,582,728,,142,209,276,325,60.0,0,0,0,0,70s,70s,70s,70s,10,10,12,12,2,2,2,2,1.8s,1.8s,1.8s,1.8s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/b/b4/Rope.png/revision/latest?cb=20190724202356', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/e/ef/Rope_Elite_2.png/revision/latest?cb=20190724202417', ""Imp's House"": 'https://static.wikia.nocookie.net/mrfz/images/3/37/Rope_Skin_1.png/revision/latest?cb=20210618060248', 'Summer Flowers FA008': 'https://static.wikia.nocookie.net/mrfz/images/9/98/Rope_Skin_2.png/revision/latest?cb=20200728203745'}",2 years,Rim Billiton,April 4th,Cautus,Infection confirmed by medical examination.,Standard,Standard,Standard,Normal
Scavenger,Vanguard,Pioneer,S.W.E.E.P.,4-star,Melee,"['DP-Recovery', 'DPS']",Blocks 2 enemies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/8/8d/Scavenger_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083401,"Scavenger, executor of S.W.E.E.P, is ready for combat at any time.","She can clean everything, except her own room.",SW02,Female,164 cm,Normal,Normal,char_149_scave,693,937,1284,1835,,185,281,385,470,60.0,136,198,255,310,,0,0,0,0,70s,70s,70s,70s,10,10,12,12,2,2,2,2,1.05s,1.05s,1.05s,1.05s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/1/18/Scavenger.png/revision/latest?cb=20190724202646', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8b/Scavenger_Elite_2.png/revision/latest?cb=20190724202707', 'Survival': 'https://static.wikia.nocookie.net/mrfz/images/a/a3/Scavenger_Skin_1.png/revision/latest?cb=20220414090713'}",4 years,Unknown,August 22nd,Zalak,Infection confirmed by medical examination.,Excellent,Normal,Excellent,Normal
Shaw,Specialist,Push Stroker,Lungmen,4-star,Melee,['Shift'],Can attack all blocked enemies[note 1]Can be deployed on Ranged Grids,Headhunting; Recruitment; 1-12,https://static.wikia.nocookie.net/mrfz/images/d/de/Shaw_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083402,"Shaw, officer of the Lungmen Fire Department, will provide various means of tactical support for everyone.",Not just a firefighter.,LM11,Female,135 cm,Excellent,Normal,char_277_sqrrel,824,1099,1392,1785,200.0,252,351,449,580,35.0,151,229,302,365,,0,0,0,0,70s,70s,70s,70s,17,17,19,19,2,2,2,2,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/9/91/Shaw.png/revision/latest?cb=20190627031441', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/f/f5/Shaw_Elite_2.png/revision/latest?cb=20190627031441', 'Cleansweeper in the Castle': 'https://static.wikia.nocookie.net/mrfz/images/0/0f/Shaw_Skin_1.png/revision/latest?cb=20201015205121'}",None,Lungmen,January 5th,Zalak,Non-infected as confirmed by medical report.,Normal,Standard,Standard,Normal
Shirayuki,Sniper,Artilleryman,Higashi,4-star,Ranged,"['AoE', 'Slow']",Deals AOE Physical Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/5/5a/Shirayuki_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083403,"Shirayuki, bodyguard of Mrs. Fumizuki, will provide help for you under the orders of her master.","To your surprise, she always reappears out of nowhere.",LM10,Female,154 cm,Excellent,Normal,char_118_yuki,834,1043,1340,1630,,347,496,621,797,70.0,51,66,84,100,,0,0,0,0,70s,70s,70s,70s,23,23,25,27,1,1,1,1,2.8s,2.8s,2.8s,2.8s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/a/a1/Shirayuki.png/revision/latest?cb=20190627031442', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/6/6c/Shirayuki_Elite_2.png/revision/latest?cb=20190627031443', 'Wind of Breaking Blade': 'https://static.wikia.nocookie.net/mrfz/images/5/55/Shirayuki_Skin_1.png/revision/latest?cb=20210417160925'}",3 years,Higashi,July 20th,Anaty,Confirmed non-infected by medical examination.,Standard,Normal,Standard,
Sussurro,Medic,Medic,Rhodes Island,4-star,Ranged,['Healing'],Restores the HP of allies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/5/53/Sussurro_icon.png/revision/latest/scale-to-width-down/120?cb=20190829230826,"Sussurro, Medic of Rhodes Island, is on standby to provide first aid at the front.",She will strictly follow the operator guidelines when providing medical assistance.,R107,Female,142 cm,Normal,Normal,char_298_susuro,725,994,1170,1345,,173,284,395,488,60.0,53,77,97,122,,0,0,0,0,70s,70s,70s,70s,16,16,18,18,1,1,1,1,2.85s,2.85s,2.85s,2.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/7/7b/Sussurro.png/revision/latest?cb=20190829230826', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/e/e5/Sussurro_Elite_2.png/revision/latest?cb=20190829230825', 'Summer Flower FA026': 'https://static.wikia.nocookie.net/mrfz/images/2/28/Sussurro_Skin_1.png/revision/latest?cb=20210803142554'}",1 year,Siracusa,September 4th,Vulpo,Crystals have appeared on her body. Infection confirmed by medical examination.,Normal,Normal,Normal,Normal
Utage,Guard,Musha,Higashi,4-star,Melee,"['DPS', 'Survival']",Can't be healed by other units. Recovers 30/50/70 self HP every time this operator attacks an enemy,Headhunting; [CN] Recruitment,https://static.wikia.nocookie.net/mrfz/images/7/72/Utage_icon.png/revision/latest/scale-to-width-down/120?cb=20200318205323,"Utage, Guard Operator, is standing around on the front lines lazily.",Enemies are taken out in an absolutely terrifying manner.,HK03,Female,161 cm,Normal,Normal,char_337_utage,1413,1963,2583,3444,,309,442,575,693,30.0,150,206,265,312,40.0,0,0,0,0,70s,70s,70s,70s,20,20,22,24,1,1,1,1,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/a/a0/Utage.png/revision/latest?cb=20200318201704', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/f/f0/Utage_Elite_2.png/revision/latest?cb=20200318201705', 'Summer Flowers FA661': 'https://static.wikia.nocookie.net/mrfz/images/5/57/Utage_Skin_1.png/revision/latest?cb=20200826220950'}",None,Higashi,April 4th,Unknown,Confirmed infected by medical examination.,Normal,Normal,Excellent,Normal
Vermeil,Sniper,Marksman,Siracusa,4-star,Ranged,['DPS'],Attacks aerial enemies first,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/f/f6/Vermeil_icon.png/revision/latest/scale-to-width-down/120?cb=20200227205901,"Vermeil, Siracusan hunter, will identify the direction of the prey in the wilderness.","When hunting, please remember to remind your teammates about where the traps are hidden.",R122,Female,153 cm,Standard,Normal,char_190_clour,550,786,1008,1230,,166,277,397,485,65.0,57,95,136,162,,0,0,0,0,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/8/82/Vermeil.png/revision/latest?cb=20191104024326', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/f/fa/Vermeil_Elite_2.png/revision/latest?cb=20191104024327'}",2 years,Unknown,June 25th,Vulpo,"Originium crystals visible on skin, confirmed Infected by medical examination.",Normal,Normal,Standard,Standard
Vigna,Vanguard,Charger,Columbia,4-star,Melee,"['DPS', 'DP-Recovery']",Obtain 1 DP after this unit defeats an enemy; Refunds the original DP Cost when retreated,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/3/39/Vigna_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083527,"Vigna, Vanguard Operator of Rhodes Island, is ready for combat with the lance in her hands.",Playing rock 'n roll is a battlefield of its own. This is a fact that she knows well.,R105,Female,142 cm,Standard,Excellent,char_290_vigna,724,1006,1291,1845,,248,355,468,558,60.0,152,218,287,351,,0,0,0,0,70s,70s,70s,70s,9,9,11,11,1,1,1,1,1s,1s,1s,1s,"{'Basic': 'https://static.wikia.nocookie.net/mrfz/images/0/08/Vigna.png/revision/latest?cb=20190724204722', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8e/Vigna_Elite_2.png/revision/latest?cb=20190724204741', 'Casual Vacation HD01': 'https://static.wikia.nocookie.net/mrfz/images/a/a7/Vigna_Skin_1.png/revision/latest?cb=20200201081841', 'Black Wave': 'https://static.wikia.nocookie.net/mrfz/images/d/d5/Vigna_Skin_2.png/revision/latest?cb=20210503053735'}",1 year,Kazdel,December 12th,Sarkaz,Infection confirmed by medical report.,Excellent,Normal,Standard,Standard
Absinthe,Caster,Core,Ursus,5-star,Ranged,['DPS'],Deals Arts Damage,Children of Ursus (Student Store); [CN] Record Restoration,https://static.wikia.nocookie.net/mrfz/images/2/28/Absinthe_icon.png/revision/latest/scale-to-width-down/120?cb=20200618201011,"Absinthe, Caster Operator, is always ready to eliminate any threats.","Unlike last time, she perhaps can once again take up the mantle of a protector.",US11,Female,159 cm,Normal,Standard,char_405_absin,619,885,1150,1420,,286,403,531,633,70.0,47,80,111,124,,10,10,15,20,80s,80s,80s,80s,20,20,22,22,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/c/ce/Absinthe.png/revision/latest?cb=20200618200824', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/e/e2/Absinthe_Elite_2.png/revision/latest?cb=20200618201010'}",0.083 years,Ursus,November 10th,Ursus,Medical tests have confirmed that no infection is present.,Standard,Normal,Standard,Excellent
Akafuyu,Guard,Musha,Higashi,5-star,Melee,"['Survival', 'DPS']",Can't be healed by other units. Recovers 30/50/70 self HP every time this operator attacks an enemy,Headhunting,https://static.wikia.nocookie.net/mrfz/images/b/bb/Akafuyu_icon.png/revision/latest/scale-to-width-down/120?cb=20210501160630,"Higashi swordbearer Akafuyu, the Nobukage-ryu disciple.","If you trust in her blade, she'll trust in you.",HK04,Female,176 cm,Standard,Excellent,char_475_akafyu,1491,2071,2726,3635,,325,465,604,728,30.0,157,216,278,328,55.0,0,0,0,0,70s,70s,70s,70s,21,21,23,25,1,1,1,1,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/4/4d/Akafuyu.png/revision/latest?cb=20210501162713', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/a/ae/Akafuyu_Elite_2.png/revision/latest?cb=20210501162728'}",8 years,Higashi,March 27th,Aegir,Medical tests have confirmed that no infection is present.,Standard,Excellent,Standard,Normal
